isin;name;current_retrocession;new_retrocession;delta;action;status;review_required;reason;source;as_of_date;notes
LU0231205856;Franklin India Fund N(acc)EUR;0.0158;1.58;1.5642;REVIEW;LARGE_CHANGE_REVIEW;true;"absolute delta 1.5642 >= 0.5; relative change 9900.00% >= 50%";bank;2026-05-08;
LU0231490524;abrdn SICAV I - Indian Equity Fund A Acc USD;1.01;1.01;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0232465384;;;0.93;;SKIP;ISIN_NOT_FOUND;true;ISIN not found in funds_v3;bank;2026-05-08;
LU0232524495;AB - American Growth Portfolio A EUR Acc;0.8;0.8;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0235308482;Alken Fund - European Opportunities Class R;0.5;0;-0.5;REVIEW;LARGE_CHANGE_REVIEW;true;"absolute delta 0.5000 >= 0.5; relative change 100.00% >= 50%";bank;2026-05-08;
LU0236738190;Schroder International Selection Fund Japanese Equity B Accumulation EUR Hedged;1.21;1.21;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0243957239;Invesco Funds - Invesco Pan European High Income Fund A Accumulation EUR;0.62;0.62;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0243957742;Invesco Funds - Invesco Pan European High Income Fund E Accumulation EUR;1.07;1.07;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0248168428;Schroder International Selection Fund Global Equity Alpha A Accumulation EUR;0.73;0.73;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0248172537;Schroder International Selection Fund Emerging Asia A Accumulation EUR;0.7;0.7;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0248181363;Schroder International Selection Fund Latin American A Accumulation EUR;0.7;0.7;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0252500524;JPMorgan Funds - EUR Money Market VNAV Fund D (acc) - EUR;0.32;0.32;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0254836850;Robeco Capital Growth Funds - Robeco Emerging Stars Equities D EUR;0.74;0.74;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0256839860;Allianz Global Investors Fund - Allianz Europe Equity Growth CT EUR;0;1.44;1.44;REVIEW;LARGE_CHANGE_REVIEW;true;absolute delta 1.4400 >= 0.5;bank;2026-05-08;
LU0260869739;Franklin U.S. Opportunities Fund A(acc)EUR;0.9;0.9;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0267984697;Invesco Funds - Invesco India Equity Fund E Accumulation EUR;0.0155;1.55;1.5345;REVIEW;LARGE_CHANGE_REVIEW;true;"absolute delta 1.5345 >= 0.5; relative change 9900.00% >= 50%";bank;2026-05-08;
LU0279460892;Schroder International Selection Fund Global Smaller Companies A1 Accumulation;0.99;0.99;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0282719219;CT (Lux) - Pan European Small Cap Opportunities Class AE (EUR Accumulation Shares);0.74;0.74;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0289214628;JPMorgan Funds - Europe Equity Plus Fund D (perf) (acc) - EUR;1.62;1.62;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0293313671;Allianz Global Investors Fund - Allianz GEM Equity High Dividend CT EUR;1.6;1.6;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0302445910;Schroder International Selection Fund Global Climate Change Equity A Accumulation;0;0.72;0.72;REVIEW;LARGE_CHANGE_REVIEW;true;absolute delta 0.7200 >= 0.5;bank;2026-05-08;
LU0318931192;Fidelity Funds - China Focus Fund A-Acc-EUR;0.75;0.75;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0320896664;Robeco BP US Premium Equities DH €;0.75;0.75;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0333810850;Goldman Sachs India Equity Portfolio E Acc EUR;1.46;1.46;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0340559557;Pictet-Timber P EUR;0.8;0.8;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0345361124;Fidelity Funds - Asia Pacific Opportunities Fund A-Acc-EUR;0.8;0.8;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0348784041;Allianz Global Investors Fund - Allianz Oriental Income AT EUR;0.75;0.75;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0348926287;Nordea 1 - Global Climate and Environment Fund BP EUR;0.71;0.71;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0348927095;;;1.45;;SKIP;ISIN_NOT_FOUND;true;ISIN not found in funds_v3;bank;2026-05-08;
LU0353647737;Fidelity Funds - European Dividend Fund A-Acc-EUR;0.75;0.75;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0365089902;Jupiter India Select Class L USD A Inc;0;0.86;0.86;REVIEW;LARGE_CHANGE_REVIEW;true;absolute delta 0.8600 >= 0.5;bank;2026-05-08;
LU0384381660;Morgan Stanley Investment Funds - QuantActive Global Infrastructure Fund A;0.75;0.75;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0387754996;Robeco Global Stars Equities D EUR;0.62;0.62;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0415391431;Bellevue Funds (Lux) - Bellevue Medtech & Services B EUR;0.8;0.8;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0418790928;;;1.14;;SKIP;ISIN_NOT_FOUND;true;ISIN not found in funds_v3;bank;2026-05-08;
LU0425100038;;;0.74;;SKIP;ISIN_NOT_FOUND;true;ISIN not found in funds_v3;bank;2026-05-08;
LU0447425785;SIH FCP - Short Term EUR A Classic;0.2;0.2;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0512121004;DNCA Invest Eurose Class B shares EUR;0.72;0.72;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0524465548;Alken Fund - Small Cap Europe Class A;1;1;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0524465977;Alken Fund - European Opportunities Class A;1;1;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0552385295;Morgan Stanley Investment Funds - Global Opportunity Fund A;0.79;0.79;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0568620727;Amundi Funds - Cash EUR G2 EUR (C);0.22;0.22;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0570870567;CT (Lux) - Global Smaller Companies AE (EUR Accumulation Shares);0.8;0.8;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0583242994;MFS Meridian Funds - Prudent Wealth Fund A1 EUR;0.93;0.93;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0599946893;DWS Concept Kaldemorgen EUR LC;0;0.66;0.66;REVIEW;LARGE_CHANGE_REVIEW;true;absolute delta 0.6600 >= 0.5;bank;2026-05-08;
LU0607513586;Invesco Funds - Invesco Global Equity Income Fund E Accumulation EUR;1.37;1.37;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0607983896;Nordea 1 - Alpha 15 MA Fund BP EUR;0;0.71;0.71;REVIEW;LARGE_CHANGE_REVIEW;true;absolute delta 0.7100 >= 0.5;bank;2026-05-08;
LU0628612748;BlackRock Global Funds - European Equity Income Fund E2;1.14;1.14;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0630951415;Fidelity Funds - Emerging Asia Fund E-Acc-EUR;1.4;1.4;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0637335638;Nordea 1 - Indian Equity Fund BP EUR;0.0069;0.69;0.6831;REVIEW;LARGE_CHANGE_REVIEW;true;"absolute delta 0.6831 >= 0.5; relative change 9900.00% >= 50%";bank;2026-05-08;
LU0638558550;;;0.39;;SKIP;ISIN_NOT_FOUND;true;ISIN not found in funds_v3;bank;2026-05-08;
LU0690375182;Fundsmith Equity Fund T EUR Acc;0;0.1;0.1;UPDATE_DRY_RUN;UPDATE_CONFIRMED;false;deterministic value change;bank;2026-05-08;
LU0702159772;Fidelity Funds - Asian Smaller Companies Fund A-Acc-EUR;0.75;0.75;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0714181541;;;1.44;;SKIP;ISIN_NOT_FOUND;true;ISIN not found in funds_v3;bank;2026-05-08;
LU0714907184;;;1.52;;SKIP;ISIN_NOT_FOUND;true;ISIN not found in funds_v3;bank;2026-05-08;
LU0727122854;;;0.74;;SKIP;ISIN_NOT_FOUND;true;ISIN not found in funds_v3;bank;2026-05-08;
LU0731782804;;;0.74;;SKIP;ISIN_NOT_FOUND;true;ISIN not found in funds_v3;bank;2026-05-08;
LU0766123821;Fidelity Funds - China Focus Fund E-Acc-EUR;1.5;1.5;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0772958525;Nordea 1 - North American Sustainable Stars Equity Fund BP USD;0;0.48;0.48;UPDATE_DRY_RUN;UPDATE_CONFIRMED;false;deterministic value change;bank;2026-05-08;
LU0826452848;DWS Invest II Global Equity High Conviction Fund LC;0.7;0.7;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0835722488;RAM (Lux) Systematic Funds - Emerging Markets Equities OP EUR;1;1;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0842066523;SIH FCP - Balanced A Classic;1.9;1.9;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0861897477;Abante Global Funds Spanish Opportunities Class B;0.93;0.93;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU0986194024;SIH FCP - Equity Europe A Classic;2.5;2.5;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU1021288268;AB - Mortgage Income Portfolio A2 EUR Acc;0.5;0.5;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU1103303167;Edmond de Rothschild Fund - US Value A EUR;0;0.84;0.84;REVIEW;LARGE_CHANGE_REVIEW;true;absolute delta 0.8400 >= 0.5;bank;2026-05-08;
LU1111642820;Eleva European Selection A2 EUR acc;1;1;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU1164219682;AXA World Funds - Euro Credit Total Return A Capitalisation EUR;0.47;0.47;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU1213836080;Fidelity Funds - Global Technology Fund A-Acc-EUR;0.74;0.74;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU1244893696;Edmond de Rothschild Fund - Big Data A-EUR accumulating;0;1.2;1.2;REVIEW;LARGE_CHANGE_REVIEW;true;absolute delta 1.2000 >= 0.5;bank;2026-05-08;
LU1245469744;Flossbach von Storch - Multiple Opportunities II ET;0.9;0.9;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU1273541463;;;0.74;;SKIP;ISIN_NOT_FOUND;true;ISIN not found in funds_v3;bank;2026-05-08;
LU1278917452;DWS Invest CROCI Sectors Plus LC;0;0.6;0.6;REVIEW;LARGE_CHANGE_REVIEW;true;absolute delta 0.6000 >= 0.5;bank;2026-05-08;
LU1279334483;Pictet - Robotics R EUR;0;1.47;1.47;REVIEW;LARGE_CHANGE_REVIEW;true;absolute delta 1.4700 >= 0.5;bank;2026-05-08;
LU1295551144;Capital Group New Perspective Fund (LUX) B (EUR);0.75;0.75;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU1321847805;BlackRock Strategic Funds - Emerging Markets Equity Strategies Fund E2 EUR;1.14;1.14;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU1378878430;Morgan Stanley Investment Funds - Asia Opportunity Fund A;0;0.79;0.79;REVIEW;LARGE_CHANGE_REVIEW;true;absolute delta 0.7900 >= 0.5;bank;2026-05-08;
LU1391767586;Fidelity Funds - Global Financial Services Fund A-Acc-EUR;0.75;0.75;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU1442549025;MFS Meridian Funds - Prudent Capital Fund A1 EUR;1;1;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU1481583711;Flossbach von Storch - Bond Opportunities RT;0;0.41;0.41;UPDATE_DRY_RUN;UPDATE_CONFIRMED;false;deterministic value change;bank;2026-05-08;
LU1529955046;Eurizon Fund - Bond Aggregate RMB Class R EUR Acc;0.91;0.91;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU1548497699;Allianz Global Investors Fund - Allianz Global Artificial Intelligence AT EUR;0.88;0.88;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU1582983133;;;1.03;;SKIP;ISIN_NOT_FOUND;true;ISIN not found in funds_v3;bank;2026-05-08;
LU1594335520;Allianz Global Investors Fund - Allianz Dynamic Multi Asset Strategy SRI 75 AT EUR;0.7;0.7;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU1665237704;M&G (Lux) Global Listed Infrastructure Fund EUR A Acc;1.05;1.05;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU1670707527;M&G (Lux) European Strategic Value Fund EUR A Acc;0.84;0.84;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU1670708764;M&G (Lux) Global Convertibles Fund EUR B Acc;1.2;1.2;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU1670710075;M&G (Lux) Global Dividend Fund EUR A Acc;1.03;1.03;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU1670715975;M&G (Lux) Japan Smaller Companies Fund EUR A Acc;0.85;0.85;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU1670722161;M&G (Lux) Global Floating Rate High Yield Fund EUR A-H Acc;0.56;0.56;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;isin_trimmed_trailing_dot
LU1670724373;M&G (Lux) Optimal Income Fund EUR A Acc;0.6;0.6;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU1697013008;SIH FCP - Flexible Fixed Income USD;0.98;0.98;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU1697016019;Sigma Investment House FCP - Selection AggressiveClass A EUR;1.35;1.35;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU1697016365;Sigma Investment House FCP - Selection Defensive Class A EUR;0.65;0.65;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU1697016878;Sigma Investment House FCP - Selection Conservative Class A EUR;1.05;1.05;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU1697017256;Sigma Investment House FCP - Selection Moderate Class A EUR;1.25;1.25;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU1697017686;Sigma Investment House FCP - Selection Dynamic Class A EUR;1.3;1.3;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU1697018064;Sigma Investment House FCP - Best Morgan Stanley Class A EUR;1.35;1.35;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU1697018494;Sigma Investment House FCP - Best JP Morgan Class A EUR;1.35;1.35;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU1706854152;Amundi S.F. - Diversified Short-Term Bond Select A EUR ND;0.3;0.3;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU1762221155;Invesco Funds - Invesco Global Founders & Owners Fund E Accumulation EUR;1.38;0;-1.38;REVIEW;LARGE_CHANGE_REVIEW;true;"absolute delta 1.3800 >= 0.5; relative change 100.00% >= 50%";bank;2026-05-08;
LU1819480192;Echiquier Artificial Intelligence B EUR;0.7;0.7;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU1829329819;CT (Lux) - Pan European Smaller Companies 1E (EUR Accumulation Shares);0.83;0.83;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU1897556517;Groupama Global Disruption NC;0.6;0.6;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU1899018870;Sigma Investment House FCP - Best M&G Class A EUR Accumulation;1.35;1.35;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU1899018953;Sigma Investment House FCP - Best Blackrock Class A EUR Accumulation;1.35;1.35;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU1899019175;Sigma Investment House FCP - Smart Horizon Class A EUR Accumulation;1.65;1.65;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU1902444584;CPR Invest - Climate Bonds Euro - A EUR - Acc;0.1;0;-0.1;REVIEW;LARGE_CHANGE_REVIEW;true;relative change 100.00% >= 50%;bank;2026-05-08;
LU1917163617;BlackRock Global Funds - FinTech Fund E2;1.12;1.12;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU1931535931;Allianz Pet and Animal Wellbeing AT EUR;0.88;0.88;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU1951204046;Natixis International Funds (Lux) I - Thematics Meta Fund R/A (EUR);0.88;0.88;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU1983299162;Schroder International Selection Fund Global Alternative Energy A Accumulation;0;0.72;0.72;REVIEW;LARGE_CHANGE_REVIEW;true;absolute delta 0.7200 >= 0.5;bank;2026-05-08;
LU2000523212;;;0.72;;SKIP;ISIN_NOT_FOUND;true;ISIN not found in funds_v3;bank;2026-05-08;
LU2092176515;BlueBox Funds - BlueBox Global Technology Fund Class C EUR Acc;1.1;1.1;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU2146190835;Robeco Sustainable Water D-EUR Capitalisation;0.8;0.8;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU2210151341;Fidelity Funds - Absolute Return Global Equity Fund A-PF-Acc-Euro (Euro/USD hedged);0.75;0.75;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU2222028099;Merchbanc FCP Renta Fija Flex A;0.98;0.98;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU2240056015;Lonvia Mid-Cap Europe Retail;0.88;0.88;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU2240056445;Lonvia Mid-Cap Euro Retail;0.83;0.83;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU2240057096;;;0.9;;SKIP;ISIN_NOT_FOUND;true;ISIN not found in funds_v3;bank;2026-05-08;
LU2278574558;Buy & Hold Luxembourg B&H Equity Class 2;0.99;0.99;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU2278574715;Buy & Hold Luxembourg B&H Flexible Class 2;0.8;0.8;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU2278574988;Buy & Hold Luxembourg B&H Bond Class 2;0.96;0.96;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU2357235493;Incometric Fund Nartex Equity Fund A Cap EUR Accumulation;0;0;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU2357235576;Incometric Fund Nartex Equity Fund R Cap EUR Accumulation;0.4;0.4;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU2375689580;Sigma Investment House FCP - Global Equity A EUR Income;2.5;2.5;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU2482630162;European Specialist Investment Funds - M&G European Credit Investment Fund Class P EUR Acc;0.2;0.2;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU2504555777;Fidelity Funds - Global Industrials Fund A-Acc-EUR;1.4;1.4;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU2697545163;BlackRock Global Funds - Euro High Yield Fixed Maturity Bond Fund 2027 Class A2;0;0;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU2697545247;BGF Euro Investment Grade Fixed Maturity Bond Fund 2028 A2;0;0;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU2743151057;Natixis International Funds (Lux) I - Ossiam Shiller Barclays CAPE® US Fund R/A (EUR);0.6;0.6;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
LU3038481936;Hamco SICAV - Global Value R EUR Acc;0.34;0.34;0;NO_CHANGE;UNCHANGED;false;new value equals current value;bank;2026-05-08;
