"finding_id","severity","area","title","evidence","impact","recommendation"
"OPT0-HIGH-001","HIGH","fallback_postprocess","Graceful degradation can return fallback portfolio while dropping higher-level constraints","functions_python/services/portfolio/optimizer_core.py:811-886 builds fallback weights after solver failure and explicitly states Level 4/5 constraints are lost; optimizer_core.py:1175-1220 returns status fallback/optimal with warnings=[]; frontend/src/hooks/usePortfolioActions.ts:623-646 accepts optimal/fallback and opens the review/tactical flow.","Can produce an applicable portfolio that no longer respects geo/group/tactical/objective constraints, contaminating final recommendations if the user accepts it.","Populate blocking warnings for every fallback path, expose lost_constraints, and require explicit confirmation or strict-mode block when constraints beyond basic risk buckets are dropped."
"OPT0-HIGH-002","HIGH","constraint_engine","Volatility band/risk budget is modeled but not enforced as a hard constraint","functions_python/services/portfolio/constraints_builder_v1.py:158-175 builds vol_band; optimizer_core.py:739-745 only uses target_vol for efficient_risk; optimizer_core.py:1179-1193 reports target/achieved vol but does not enforce vol_band min/max.","Profiles may appear to have volatility caps while the solver only optimizes an objective or target, allowing portfolios outside intended risk policy.","Either enforce vol_band as a hard/soft post-check with status degradation or rename it as reporting-only target. Add tests for achieved_vol outside band."
"OPT0-HIGH-003","HIGH","constraint_engine","Feasibility precheck misses max-attainable bucket floors under max_weight/fixed positions","functions_python/services/portfolio/feasibility_precheck.py:146-175 only blocks when max exposure in a bucket is zero; optimizer_core.py:989-1013 trusts this precheck before solver instantiation.","A bucket minimum can be mathematically unreachable even when one fund has nonzero exposure, causing solver failure or fallback portfolios that do not meet the requested policy.","Extend precheck to calculate maximum attainable exposure using sorted bucket exposures, max_weight, locked positions, and remaining budget."
"OPT0-HIGH-004","HIGH","suitability","Missing V2 exposure can be treated as zero equity during suitability checks","functions_python/services/portfolio/suitability_engine.py:15-19 requires classification_v2 but does not require usable exposure; lines 27-39 set real_eq from get_v2_asset_mix(...), defaulting missing exposure to 0.","A fund with incomplete exposure may pass conservative suitability because missing exposure becomes 0% equity, especially if flags/risk_bucket are incomplete.","For risk profiles 1-4, require usable V2 exposure or apply conservative classification-based blocks. Surface missing exposure as a warning/block, not zero exposure."
"OPT0-HIGH-005","HIGH","weights_normalization","Weight normalization can preserve negative output weights if upstream weights contain negatives","functions_python/services/portfolio/utils.py:27-31 computes denominator with max(0,v) but returns raw v/s; optimizer_core.py:821-824 normalizes ef.clean_weights output without a second non-negative assertion.","A tiny negative or unexpected upstream weight can leak into final weights despite a long-only solver contract.","Normalize from sanitized non-negative values, assert all weights >= 0, assert finite values, and fail/fallback with explicit warning if invariant breaks."
"OPT0-MED-006","MEDIUM","fallback_map","Group exposure constraints can fallback to derived/ms/legacy sources without surfaced source or warning","functions_python/services/portfolio/utils.py:369-473 reads V2 group maps, then identity, then derived/ms/meta legacy maps; optimizer_core.py:533-560 uses these vectors for geo/group constraints.","Reporting and optimizer constraints can be based on mixed-quality region/sector/credit sources without the user seeing which source was used.","Return source diagnostics for group vectors and add result warnings when constraints rely on derived/ms/legacy fallback."
"OPT0-MED-007","MEDIUM","portfolio_exposure_v2_usage","Mixed-scale or malformed asset_mix is normalized silently in optimizer reader","functions_python/services/portfolio/utils.py:134-138 converts values >1.5 to decimals; lines 245-284 normalizes the final vector; SEM-4 documents the same runtime contract.","Optimizer math is robust for known 0-1/0-100 cohorts, but malformed or mixed-scale vectors can be masked and become hard-to-audit exposures.","Add read-time diagnostics: detected_scale, normalized_sum, input_sum, source path, and mixed-scale warning. Do not change storage in this audit."
"OPT0-MED-008","MEDIUM","logging_auditability","Successful optimizer responses return warnings=[] even when fallbacks or degradations occurred","functions_python/services/portfolio/optimizer_core.py:1170 records relaxed_constraints in explainability; line 1220 always returns warnings=[] for successful result; _run_solver logs fallback attempts at lines 760-805.","Users and downstream systems may miss solver fallback, lost constraints, legacy fallback, or tactical fallback unless they inspect explainability/logs.","Populate warnings with solver_path, fallback_reason, lost_constraints, legacy_fallback_counts, tactical_bl_fallback, and data_readiness gaps."
"OPT0-MED-009","MEDIUM","frontend_backend_consistency","Frontend display can truncate, round, and filter optimizer weights without renormalizing","frontend/src/hooks/usePortfolioActions.ts:176-191 multiplies backend decimals by 100, rounds to 2 decimals, filters <=0.01%, and adds auto assets without final displayed renormalization.","Displayed/applied proposed portfolio can sum away from 100 or hide tiny allocations, creating optimizer_output vs displayed_output drift.","After mapping backend weights, renormalize displayed weights to 100 or show residual/unallocated cash explicitly. Add a UI invariant test."
"OPT0-MED-010","MEDIUM","tactical_layer","Tactical views can fall back to mean/covariance while explainability still implies tactical impact","optimizer_core.py:343-372 falls back from Black-Litterman to pairwise mean/covariance on exception; optimizer_core.py:1172 reports tactical_views_impact based only on tactical_views truthiness; quant_core.py:110-124 filters views by ticker in prior returns.","A tactical override may not actually affect mu/S, while output can still say tactical views were applied.","Track tactical_views_requested_count, applied_count, dropped_count, and bl_fallback_reason. Only claim impact if at least one view survived and BL succeeded."
"OPT0-MED-011","MEDIUM","runtime_side_effects","Optimizer runtime has optional Firestore side effects during normal execution","functions_python/services/data_fetcher.py:247-345 reads and writes system_settings/risk_free_rate cache; endpoints_portfolio.py:421-465 writes optimizer_snapshots when save_snapshot/snapshot_label is supplied.","Optimization is not fully side-effect-free, which complicates read-only expectations and reproducibility in audit or dry-run modes.","Add an explicit dry_run/no_write flag for optimizer calls or separate cache/snapshot writes from the quantitative run."
"OPT0-MED-012","MEDIUM","recommendation_layer","Swap recommendation layer can use universal fallback and commercial/retrocession ranking","frontend/src/utils/fundSwapper.ts:187-203 adds universal fallback candidates and scores commercialScore; lines 224-248 select a second option by different company/retrocession within quality floor; directSearch.ts:134-146 can sort by maximizeRetro.","Recommendation output may be commercially biased or taxonomically broad without enough user-visible disclosure or backend suitability validation.","Surface recommendation tier, commercial factor, and suitability/concentration checks. Keep backend as authority for final recommendation filtering."
"OPT0-LOW-013","LOW","auditability","Optimizer result lacks deterministic run_id/input hash and complete source stamps","optimizer_core.py:1195-1221 returns metrics/explainability but no run_id, input hash, price cache version, RF source, or code contract version; data_fetcher.py:247-345 can use cached/ECB/fallback RF.","Harder to reproduce an optimizer result exactly after data/cache/RF changes.","Add run_id, request_hash, universe_hash, price_as_of, rf_source, rf_rate_timestamp, optimizer_version, and constraints_version to result/explainability."
"OPT0-LOW-014","LOW","frontend_local_engine","Local SmartPortfolio remains a presentation-only fallback that can still generate portfolios","frontend/src/utils/rulesEngine.ts:7-13 states backend is authority; lines 462-647 generate local portfolios with local risk profile seed; lines 650-682 fallback to local seed if backend business rules fail.","Can confuse UX previews with backend optimizer authority, though code comments already warn it is presentation-only.","Label local portfolios as preview-only in telemetry/UI and avoid mixing local scores with backend optimizer outputs."
