"suite","test/file","status","category","related_to_opt_3","deploy_blocker","recommendation"
"backend_p0_relevant","tests/test_optimizer_p0_contracts.py + optimizer_core + suitability","PASS","RELATED_TO_OPT_3","true","false","P0 contracts passed; keep as required release gate."
"backend_optimizer_extended","optimizer_p0 + optimizer_core + feasibility_precheck + suitability + quant_core + optimizer_invariants","PASS","RELATED_TO_OPT_3","true","false","Relevant optimizer/suitability/quant surface passed 84 tests."
"frontend_p0_contract","src/__tests__/optimizerP0Contract.test.ts","PASS","RELATED_TO_OPT_3","true","false","Fallback gating contract passed; keep as required release gate."
"backend_full_repo_overall","python -m pytest full suite","FAIL","NEEDS_FIX_BEFORE_DEPLOY","false","true","Full suite is red; fix, quarantine, or formally waive known legacy failures before deploy."
"frontend_full_repo_overall","npm test -- --run full suite","FAIL","NEEDS_FIX_BEFORE_DEPLOY","false","true","Full suite is red; fix, quarantine, or formally waive known legacy failures before deploy."
"backend_full","scripts/e2e_smoke_test.py::test_analyzer","ERROR","LEGACY_PREEXISTING","false","false","Pytest collects e2e smoke helper without opt_res fixture; exclude from default pytest or add fixture before claiming full-suite green."
"backend_full","scripts/tests/test_optimizer_v2.py::test_optimization_v2","FAIL","LEGACY_PREEXISTING","false","false","FinancialEngine legacy exposure constraint path assumes alternatives map is not None; outside optimizer_core P0."
"backend_full","scripts/tests/test_smart_portfolio.py::TestSmartPortfolio::test_hydraulic_balancer_logic","FAIL","LEGACY_PREEXISTING","false","false","Legacy patch target services.optimizer.firestore no longer resolves; outside OPT-3 optimizer_core path."
"backend_full","tests/test_backtester_history_fallback.py::test_compute_metrics_still_fails_with_too_few_observations","FAIL","LEGACY_PREEXISTING","false","false","Backtester short-history expectation differs from current behavior; unrelated to OPT-3."
"backend_full","tests/test_regression_coverage.py::test_analyzer_insufficient_history","FAIL","LEGACY_PREEXISTING","false","false","Analyzer short-history behavior returns success after dropping insufficient assets; unrelated to OPT-3."
"backend_full","tests/test_regression_coverage.py::test_frontier_short_history","FAIL","LEGACY_PREEXISTING","false","false","Frontier short-history behavior returns success; unrelated to OPT-3."
"backend_full","tests/xray/test_compare_risk_free.py::test_no_start_date","FAIL","OUT_OF_SCOPE","false","false","Backend app xray callable wrapper expects __wrapped__ on mocked https function; unrelated to optimizer P0."
"backend_full","tests/xray/test_compare_risk_free.py::test_with_start_date","FAIL","OUT_OF_SCOPE","false","false","Backend app xray callable wrapper issue; unrelated to optimizer P0."
"backend_full","tests/xray/test_compare_risk_free.py::test_deterministic_output","FAIL","OUT_OF_SCOPE","false","false","Backend app xray callable wrapper issue; unrelated to optimizer P0."
"backend_full","tests/xray/test_compare_risk_free.py::test_portfolio_xirr_client_reasonable_range","FAIL","OUT_OF_SCOPE","false","false","Backend app xray callable wrapper issue; unrelated to optimizer P0."
"backend_full","tests/xray/test_compare_risk_free.py::test_portfolio_xirr_client_differs_from_fund_xirr_when_flows_differ","FAIL","OUT_OF_SCOPE","false","false","Backend app xray callable wrapper issue; unrelated to optimizer P0."
"backend_full","tests/xray/test_compare_risk_free.py::test_letras_metadata_returned","FAIL","OUT_OF_SCOPE","false","false","Backend app xray callable wrapper issue; unrelated to optimizer P0."
"backend_full","tests/xray/test_compare_risk_free.py::test_letras_uses_same_external_cashflows_as_client","FAIL","OUT_OF_SCOPE","false","false","Backend app xray callable wrapper issue; unrelated to optimizer P0."
"backend_full","tests/xray/test_compare_risk_free.py::test_internal_fund_switches_do_not_affect_letras_benchmark_cashflows","FAIL","OUT_OF_SCOPE","false","false","Backend app xray callable wrapper issue; unrelated to optimizer P0."
"backend_full","tests/xray/test_depositos.py::TestDepositosFieldsExist::test_depositos_final_value_exists","FAIL","OUT_OF_SCOPE","false","false","Backend app depositos xray callable wrapper issue; unrelated to optimizer P0."
"backend_full","tests/xray/test_depositos.py::TestDepositosFieldsExist::test_depositos_xirr_nominal_exists","FAIL","OUT_OF_SCOPE","false","false","Backend app depositos xray callable wrapper issue; unrelated to optimizer P0."
"backend_full","tests/xray/test_depositos.py::TestDepositosFieldsExist::test_depositos_final_value_is_number","FAIL","OUT_OF_SCOPE","false","false","Backend app depositos xray callable wrapper issue; unrelated to optimizer P0."
"backend_full","tests/xray/test_depositos.py::TestDepositosFieldsExist::test_depositos_xirr_nominal_is_number","FAIL","OUT_OF_SCOPE","false","false","Backend app depositos xray callable wrapper issue; unrelated to optimizer P0."
"backend_full","tests/xray/test_depositos.py::TestDepositosUsesExternalFlows::test_internal_switches_dont_affect_deposits","FAIL","OUT_OF_SCOPE","false","false","Backend app depositos xray callable wrapper issue; unrelated to optimizer P0."
"backend_full","tests/xray/test_depositos.py::TestDepositosReasonableRange::test_depositos_positive_long_term","FAIL","OUT_OF_SCOPE","false","false","Backend app depositos xray callable wrapper issue; unrelated to optimizer P0."
"backend_full","tests/xray/test_depositos.py::TestDepositosReasonableRange::test_depositos_below_funds","FAIL","OUT_OF_SCOPE","false","false","Backend app depositos xray callable wrapper issue; unrelated to optimizer P0."
"backend_full","tests/xray/test_depositos.py::TestDepositosReasonableRange::test_depositos_xirr_in_range","FAIL","OUT_OF_SCOPE","false","false","Backend app depositos xray callable wrapper issue; unrelated to optimizer P0."
"backend_full","tests/xray/test_depositos.py::TestExistingJsonUnchanged::test_all_original_keys_present","FAIL","OUT_OF_SCOPE","false","false","Backend app depositos xray callable wrapper issue; unrelated to optimizer P0."
"backend_full","tests/xray/test_depositos.py::TestExistingJsonUnchanged::test_original_values_unchanged","FAIL","OUT_OF_SCOPE","false","false","Backend app depositos xray callable wrapper issue; unrelated to optimizer P0."
"backend_full","tests/xray/test_depositos.py::TestExistingJsonUnchanged::test_chart_data_structure_unchanged","FAIL","OUT_OF_SCOPE","false","false","Backend app depositos xray callable wrapper issue; unrelated to optimizer P0."
"frontend_full","src/utils/analytics.test.ts::calculates correct weighted return and volatility","FAIL","LEGACY_PREEXISTING","false","false","Analytics expected return scale mismatch; outside optimizer fallback gating."
"frontend_full","src/__tests__/v2Helpers.test.ts::getCanonicalSubtype returns V2 asset_subtype when present","FAIL","LEGACY_PREEXISTING","false","false","Existing subtype formatting expectation conflicts with localized normalizer output; outside OPT-3."
"frontend_full","src/__tests__/v2Helpers.test.ts::getCanonicalSubtype falls back to legacy morningstar category when no V2","FAIL","LEGACY_PREEXISTING","false","false","Existing capitalization expectation differs from normalizer output; outside OPT-3."
"frontend_full","src/utils/rulesEngine.test.ts::returns exactly N funds when universe is sufficient","FAIL","LEGACY_PREEXISTING","false","false","RulesEngine fixtures lack classification_v2.asset_type and are defensively degraded; outside OPT-3 gating."
"frontend_full","src/utils/rulesEngine.test.ts::enforces hard min/max buckets for Risk 1 with N=16","FAIL","LEGACY_PREEXISTING","false","false","RulesEngine fixture taxonomy issue; outside OPT-3 gating."
"frontend_full","src/utils/rulesEngine.test.ts::when universe is smaller than requested returns what it can and weights sum to 100","FAIL","LEGACY_PREEXISTING","false","false","RulesEngine fixture taxonomy issue; outside OPT-3 gating."
